,Date,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N),Time,Species,original order,Address
830,2010-11-15,Unprovoked,DOMINICAN REPUBLIC,Other,Boca Chica,Diving,M,21,Y,Unknown,Other,5266,Unknown
831,2010-11-14,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,Unknown,N,Unknown,Other,5265,"Balian, Bali, INDONESIA"
832,2010-11-12,Boat,AUSTRALIA,Western Australia,Between Carnac and Garden Islands,Fishing,M,Unknown,N,Unknown,Great White,5264,"Between Carnac and Garden Islands, Western Australia, AUSTRALIA"
833,2010-10-30,Unprovoked,AUSTRALIA,Western Australia,Off Garden Island,Snorkeling,F,20,N,12h30,Great White,5263,"Off Garden Island, Western Australia, AUSTRALIA"
834,2010-10-28,Unprovoked,AUSTRALIA,Western Australia,Cheynes Beach,Spearfishing,M,Unknown,N,Unknown,Other,5262,"Cheynes Beach, Western Australia, AUSTRALIA"
835,2010-10-28,Unprovoked,USA,Oregon,Florence,Surfing,M,Unknown,N,15h20,Other,5261,"Florence, Oregon, USA"
836,2010-10-25,Provoked,AZORES,Other,350 miles from Faial Island,Fishing,M,Unknown,N,Unknown,Other,5260,Unknown
837,2010-10-23,Unprovoked,USA,Maine,"Burnt Cove near Eastport, Washington County",Scuba diving,M,30,N,Unknown,Other,5259,"Burnt Cove near Eastport, Washington County, Maine, USA"
838,2010-10-23,Unprovoked,AUSTRALIA,Western Australia,Wedge Island,Kite Surfing,M,14,N,Unknown,Other,5258,"Wedge Island, Western Australia, AUSTRALIA"
839,2010-10-22,Unprovoked,USA,California,"Surf Beach, Vandenberg AFB, Santa Barbara County",Body boarding,M,19,Y,08h50,Great White,5257,"Surf Beach, Vandenberg AFB, Santa Barbara County, California, USA"
840,2010-10-20,Unprovoked,EGYPT,South Sinai Peninsula,Sharm el-Sheikh,Snorkeling,F,Unknown,N,Unknown,Other,5256,"Sharm el-Sheikh, South Sinai Peninsula, EGYPT"
841,2010-10-09,Unprovoked,AUSTRALIA,New South Wales,Mullaway Headland,Surfing,M,22,N,13h30,Bull,5255,"Mullaway Headland, New South Wales, AUSTRALIA"
842,2010-10-02,Unprovoked,BAHAMAS,Exuma Islands,Other,Snorkeling,M,Unknown,N,Unknown,Other,5254,Unknown
843,2010-10-02,Unprovoked,BAHAMAS,Abaco Islands,Elbow Cay,Surfing,F,Unknown,N,15h00,Other,5253,"Elbow Cay, Abaco Islands, BAHAMAS"
844,2010-10-01,Unprovoked,SOUTH AFRICA,Western Cape Province,"Melkbaai, Strand",Surfing,M,15.0,N,14h30,Other,5252,"Melkbaai, Strand, Western Cape Province, SOUTH AFRICA"
845,2010-09-27,Unprovoked,USA,Oregon,Winchester Bay,Surfing,M,29,N,16h00,Great White,5251,"Winchester Bay, Oregon, USA"
846,2010-09-24,Unprovoked,USA,Virginia,Sandridge Beach,Surfing,M,18,N,16h30,Other,5250,"Sandridge Beach, Virginia, USA"
847,2010-09-21,Unprovoked,SOUTH AFRICA,Western Cape Province,Between Dyer Island and Pearly Beach,Swimming,M,29,Y,Unknown,Great White,5249,"Between Dyer Island and Pearly Beach, Western Cape Province, SOUTH AFRICA"
848,2010-09-13,Unprovoked,AUSTRALIA,New South Wales,Fraser's Reef,Surfing,M,15,N,17h00,Other,5248,"Fraser's Reef, New South Wales, AUSTRALIA"
849,2010-09-07,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Swimming,M,27,N,Unknown,Other,5247,"St. Augustine, St. John's County, Florida, USA"
850,2010-09-06,Unprovoked,TONGA,Ha'api,Other,Swimming /  Whale Watching,M,24,N,12h00,Other,5246,Unknown
851,2010-09-04,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Unknown,N,Unknown,Other,5245,"New Smyrna Beach, Volusia County, Florida, USA"
852,2010-09-03,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,N,12h00,Other,5244,"New Smyrna Beach, Volusia County, Florida, USA"
853,2010-09-03,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,N,09h00,Other,5243,"New Smyrna Beach, Volusia County, Florida, USA"
854,2010-09-02,Unprovoked,SOLOMON ISLANDS,Western Province,Other,Unknown,M,34,N,Unknown,Other,5242,Unknown
855,2010-08-29,Invalid,BAHAMAS,Exuma Islands,"Off Jaws Beach, New Providence Island",Swimming after boat became disabled,M,43,Y,Unknown,Other,5241,"Off Jaws Beach, New Providence Island, Exuma Islands, BAHAMAS"
856,2010-08-18,Unprovoked,USA,Florida,Crescent Beach St. Johns County,Boogie Boarding,M,10,N,09h00,Other,5240,"Crescent Beach St. Johns County, Florida, USA"
857,2010-08-17,Unprovoked,AUSTRALIA,Western Australia,Cowaramup Bay,Surfing,M,31,Y,08h05,Great White,5239,"Cowaramup Bay, Western Australia, AUSTRALIA"
858,2010-08-14,Unprovoked,USA,California,"Pigeon Point, San Mateo County",Kayak Fishing,M,45,N,Unknown,Great White,5238,"Pigeon Point, San Mateo County, California, USA"
859,2010-08-10,Provoked,AUSTRALIA,Queensland,"Three Mile Creek, Townsville",Fishing,F,Unknown,N,19h00,Other,5237,"Three Mile Creek, Townsville, Queensland, AUSTRALIA"
860,2010-08-10,Unprovoked,SOUTH KOREA,Jeju Province,Jeju Island,Swimming,F,16,N,Unknown,Other,5236,"Jeju Island, Jeju Province, SOUTH KOREA"
861,2010-08-08,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,Surfing,M,47,N,08h00,Other,5235,"Crescent Head, New South Wales, AUSTRALIA"
862,2010-08-07,Unprovoked,USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,M,25,N,15h00,Other,5234,"Figure Eight Island, Wilmington, New Hanover County, North Carolina, USA"
863,2010-08-07,Unprovoked,MALTA,Other,"Off Fort St. Elmo, Valetta",Windsurfing,M,35,N,Unknown,Other,5233,Unknown
864,2010-08-05,Invalid,USA,Florida,"Bethune Beach, Volusia County",Swimming,F,Unknown,N,19h15,Other,5232,"Bethune Beach, Volusia County, Florida, USA"
865,2010-08-02,Unprovoked,USA,California,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",Kayaking,M,Unknown,N,12h40,Great White,5231,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County, California, USA"
866,2010-08-02,Unprovoked,USA,Florida,"Micklers Landing, St. Johns County",Standing,F,37,N,11h00,Other,5230,"Micklers Landing, St. Johns County, Florida, USA"
867,2010-07-25,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Standing,M,16,N,Unknown,Other,5229,"Isle of Palms, Charleston County, South Carolina, USA"
868,2010-07-23,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,20,N,16h30,Other,5228,"Jacksonville Beach, Duval County, Florida, USA"
869,2010-07-19,Unprovoked,USA,South Carolina,Myrtle Beach,Swimming,M,10,N,10h35,Other,5227,"Myrtle Beach, South Carolina, USA"
870,2010-07-17,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Swimming,F,13,N,13h30,Other,5226,"Wrightsville Beach, New Hanover County, North Carolina, USA"
871,2010-07-17,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,55,N,Unknown,Other,5225,"New Smyrna Beach, Florida, USA"
872,2010-07-16,Provoked,SPAIN,Grand Canary Island,"Sardina del Norte, Gáldar",Swimming,M,9,N,19h15,Other,5224,"Sardina del Norte, Gáldar, Grand Canary Island, SPAIN"
873,2010-07-16,Unprovoked,USA,Texas,Galveston,Fishing,M,Unknown,N,Unknown,Other,5223,"Galveston, Texas, USA"
874,2010-07-11,Provoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Fishing,M,Unknown,N,Unknown,Other,5222,"Lauderdale-by-the-Sea, Broward County, Florida, USA"
875,2010-07-04,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Two Mile Reef, Sodwana Bay",Snorkeling,F,21,N,Unknown,Other,5221,"Two Mile Reef, Sodwana Bay, KwaZulu-Natal, SOUTH AFRICA"
876,2010-07-03,Provoked,USA,New York,Off Long Island,Fishing,M,20,N,12h30,Other,5220,"Off Long Island, New York, USA"
877,2010-07-02,Unprovoked,USA,California,"Pismo Beach, San Luis  Obispo County",Surfing,M,19,N,Unknown,Other,5219,"Pismo Beach, San Luis  Obispo County, California, USA"
878,2010-07-02,Unprovoked,USA,California,"Dog Patch, San Onofre",Stand-Up Paddleboarding,M,48,N,15h15,Other,5218,"Dog Patch, San Onofre, California, USA"
879,2010-06-27,Unprovoked,USA,Texas,"Eight Mile Beach, Galveston",Surfing,M,20,N,Unknown,Bull,5217,"Eight Mile Beach, Galveston, Texas, USA"
880,2010-06-25,Unprovoked,USA,South Carolina,Fripp Island,Boogie Boarding,F,6,N,Unknown,Other,5216,"Fripp Island, South Carolina, USA"
881,2010-06-25,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",Swimming,F,13,N,13h00,Other,5215,"Topsail Island, Pender County, North Carolina, USA"
882,2010-06-15,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Swimming,M,17,N,17h00,Other,5214,"Quy Nhon, Binh Dinh Province, VIETNAM"
883,2010-06-10,Unprovoked,USA,Florida,Jacksonville,Boogie Boarding,F,18,N,12h30,Other,5213,"Jacksonville, Florida, USA"
884,2010-06-06,Unprovoked,AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",Surfing,M,40,N,12h00,Other,5212,"Conspicuous Beach, near Walpole, Western Australia, AUSTRALIA"
885,2020-06-10,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Surfing,M,20,N,Unknown,Other,5211,"Ponte Vedra Beach, St Johns County, Florida, USA"
886,2010-05-30,Provoked,USA,Florida,Off Tarpon Springs,Fishing,M,49,N,08h45,Other,5210,"Off Tarpon Springs, Florida, USA"
887,2010-05-18,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Rescuing,F,58,N,18h00,Other,5209,"Quy Nhon, Binh Dinh Province, VIETNAM"
888,2010-05-18,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Swimming,F,60,N,18h00,Other,5208,"Quy Nhon, Binh Dinh Province, VIETNAM"
889,2010-05-18,Unprovoked,AUSTRALIA,New South Wales,Point Plomer,Surfing,M,Unknown,N,16h30,Other,5207,"Point Plomer, New South Wales, AUSTRALIA"
890,2010-05-03,Unprovoked,MADAGASCAR,Antsiranana Province," Ambatolaoka, Nosy Be Island",Scuba diving,M,59,N,09h30,Other,5206," Ambatolaoka, Nosy Be Island, Antsiranana Province, MADAGASCAR"
891,2010-05-01,Unprovoked,USA,Florida,New Smyrna Beach,Wading,F,10,N,10h30,Other,5205,"New Smyrna Beach, Florida, USA"
892,2010-04-28,Provoked,USA,Florida,Hanalei Bay,Measuring sharks,M,29,N,Unknown,Other,5204,"Hanalei Bay, Florida, USA"
