,Date,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N),Time,Species,original order
126,2016-06-15,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,-1,N,06h00,3' to 4' shark,5969
127,2016-06-15,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,M,19,N,Unknown,5' shark,5968
128,2016-06-14,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,F,6,N,17h30,3' to 4' shark,5967
129,2016-06-11,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,M,19,N,15h00,3' shark,5966
130,2016-06-07,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,27,N,11h30,Said to involve an 8' shark but more likely damage caused by debris,5965
131,2016-06-05,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,64,N,08h30,Other,5964
132,2016-06-05,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,F,60,Y,11h30,3+ m shark,5963
133,2016-06-04,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,M,23,N,Unknown,Mako shark,5962
134,2016-06-02,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,Spearfishing,M,-1,Unknown,Unknown,Bronze whaler sharks x 3,5961
135,2016-06-02,Unprovoked,NEW CALEDONIA,Other," Côte-Blanche, Nouméa ",Kite surfing,M,-1,N,Unknown,3 m shark,5960
136,2016-05-31,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,M,29,Y,16h00,White shark,5959
137,2016-05-29,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,52,N,16h00,Other,5958
138,2016-05-29,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,M,13,N,15h45,5' shark,5957
139,2016-05-22,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,57,N,12h00,Other,5956
140,2016-05-21,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,22,N,18h00,"Bull shark, 4' to 5'",5955
141,2016-05-21,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,11,N,17h46,Other,5954
142,2016-05-18,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,48,N,Unknown,"Blacktip shark, 4'",5953
143,2016-05-15,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,F,23,N,13h20,"Nurse shark, 2'",5952
144,2016-05-03,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,M,59,N,15h49,Other,5951
145,2016-05-02,Provoked,NEW ZEALAND,North Island,Cormandel,Fishing,M,39,N,Unknown,"Mako shark, 1.5 m [5'] ",5950
146,2016-04-25,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,24,N,07h00,"Bull shark, 6'",5949
147,2016-04-23,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,N,17h30,Other,5948
148,2016-04-22,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,M,-1,N,08h00,White shark,5947
149,2016-04-19,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,12,N,12h00,Wobbegong shark,5946
150,2016-04-18,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,M,26,N,Unknown,"Grey reef shark, 2 m",5945
151,2016-04-13,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,M,26,N,Unknown,"Bull shark, 7'",5944
152,2016-04-09,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,F,69,Y,10h45,"Tiger shark, 2.5 m",5943
153,2016-04-08,Invalid,CAPE VERDE,Boa Vista Island,Other,Unknown,M,60,N,Unknown,Shark involvement not confirmed,5942
154,2016-04-07,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Fishing,M,34,N,Unknown,5' to 6' shark,5941
155,2016-04-07,Invalid,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",SUP,M,-1,N,Unknown,Other,5940
156,2016-03-31,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,46,N,11h00,Other,5939
157,2016-03-30,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,Surfing,M,22,N,19h00,Other,5938
158,2016-03-28,Unprovoked,USA,Florida,"Fort Myers Beach, Lee County",Unknown,M,15.0,N,Unknown,Shark involvement not confirmed,5937
159,2016-03-28,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,M,41,N,11h00,Other,5936
160,2016-03-26,Provoked,BAHAMAS,Other,Other,Unknown,M,9,N,Unknown,"Nurse shark, 2.5-ft",5935
161,2016-03-13,Invalid,USA,California,"Bolsa Chica State Park, Orange County",Surfing,Unknown,-1,N,Unknown,Shark involvement not confirmed,5934
162,2016-03-11,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",Body surfing,M,19,N,13h30,Other,5933
163,2016-03-10,Unprovoked,Fiji,Vanua Levu,Other,Diving for beche-de-mer,M,45,Y,Unknown,Other,5932
164,2016-03-04,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Unknown,M,12,N,Unknown,Other,5931
165,2016-03-03,Unprovoked,AUSTRALIA,South Australia,Wrights Bay,Fishing,M,-1,N,Unknown,Bronze whaler,5930
166,2016-03-02,Unprovoked,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Swimming,M,41,N,Unknown,Sandtiger shark,5929
167,2016-02-22,Unprovoked,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Kite surfing,M,21,N,19h00,Other,5928
168,2016-02-19,Unprovoked,NEW CALEDONIA,South Province,Yate,Spearfishing,M,31,N,16h00,Other,5927
169,2016-02-12,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",Wading,F,-1,N,15h00,Other,5926
170,2016-02-10,Invalid,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,Feeding stingrays?,M,65,N,Unknown,No shark involvement,5925
171,2016-02-10,Invalid,AUSTRALIA,Tasmania,Nettley Bay,Surfing,M,-1,N,12h30,No shark involvement,5924
172,2016-02-05,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island,Walking,F,45,N,13h20,Other,5923
173,2016-02-04,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,Windsurfing,M,40,N,Unknown,Other,5922
174,2016-01-29,Boat,SOUTH AFRICA,KwaZulu-Natal,Other,Kayak fishing,M,-1,N,Unknown,Other,5921
175,2016-01-28,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,-1,N,14h00,"Reef shark, 5'",5920
176,2016-01-25,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai, ",Surfing,F,15,N,11h30,Other,5919
177,2016-01-24,Unprovoked,USA,Texas,Off Surfside,Spearfishing,M,-1,N,09h30,Bull sharks x 2,5918
178,2016-01-24,Boat,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,Fishing,M,-1,N,Unknown,Mako shark,5917
179,2016-01-23,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Paddle boarding,M,48,N,Unknown,"Tiger shark, 14'",5916
180,2016-01-11,Unprovoked,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Surfing,M,-1,N,Unknown,Wobbegong shark,5915
181,2016-01-05,Unprovoked,AUSTRALIA,Queensland,Heron Island,Wading,M,11,N,Unknown,Blacktip shark,5914
182,2016-01-02,Unprovoked,AUSTRALIA,Queensland,Miall Island,Spearfishing,M,31,N,11h30,3 m shark,5913
183,2015-12-26,Boat,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,Kayak Fishing,M,-1,N,Unknown,"White shark, 3 m",5912
184,2015-12-25,Unprovoked,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,F,38,N,Unknown,"Silky shark, 6.5'",5911
185,2015-12-22,Unprovoked,USA,Hawaii,La'aloa Beach Park,Paddle boarding,M,71,N,Unknown,9' shark,5910
