X,Y,geo_x_MTM,geo_y_MTM,geo_spatialRef_wkid,Facility_Group,BN,BN_FR,ADDRESS,ADDRESS_FR,Open_Seasonally,Season_Start_Date,Season_End_Date,Open_Hours_Sunday,Closed_Hours_Sunday,Special_Hours_Sunday,Open_Hours_Monday,Closed_Hours_Monday,Special_Hours_Monday,Open_Hours_Tuesday,Closed_Hours_Tuesday,Special_Hours_Tuesday,Open_Hours_Wednesday,Closed_Hours_Wednesday,Special_Hours_Wednesday,Open_Hours_Thursday,Closed_Hours_Thursday,Special_Hours_Thursday,Open_Hours_Friday,Closed_Hours_Friday,Special_Hours_Friday,Open_Hours_Saturday,Closed_Hours_Saturday,Special_Hours_Saturday,Phone_number_to_report_issues,X_COORDINATE,Y_COORDINATE,JURISDICTION,interior,seasonal,FID
-75.7333831787109,45.3547210693359,-8430602,5677539,102100,ARTS AND CULTURE,Ottawa Public Library Emerald Plaza Branch,BibliothŠque publique d'Ottawa Succursale Emerald Plaza,1547 MERIVALE RD,1547 CH MERIVALE,Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,Closed,Closed,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 1:00:00 PM,12/31/1899 6:00:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 5:00:00 PM,Not Applicable/Non applicable,311,-75.7333831787109,45.3547210693359,OTTAWA,y,n,11
-75.6837921142578,45.3954658508301,-8425081,5683996,102100,ARTS AND CULTURE,Ottawa Public Library Sunnyside Branch,BibliothŠque publique d'Ottawa Succursale Sunnyside,1049 BANK ST,1049 RUE BANK,Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,Closed,Closed,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,NA,12/31/1899 1:00:00 PM,12/31/1899 6:00:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 5:00:00 PM,Not Applicable/Non applicable,311,-75.6837921142578,45.3954658508301,OTTAWA,y,n,12
-75.6953887939453,45.420238494873,-8426372,5687924,102100,ARTS AND CULTURE,Ottawa Public Library Main Library,BibliothŠque publique d'Ottawa BibliothŠque Centrale,120 METCALFE ST,120 RUE METCALFE,Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 1:00:00 PM,12/31/1899 5:00:00 PM,Closed early June to early September,12/31/1899 10:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 9:00:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 6:00:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 5:00:00 PM,Not Applicable/Non applicable,311,-75.6953887939453,45.420238494873,OTTAWA,y,n,13
-75.5575942993164,45.2613220214844,-8411033,5662756,102100,ARTS AND CULTURE,Ottawa Public Library Greely Branch,BibliothŠque publique d'Ottawa Succursale Greely,1448 MEADOW DR,1448 PROM MEADOW,Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,Closed,Closed,Not Applicable/Non applicable,Special Hours/Heures de fonctionnement sp‚cial,Special Hours/Heures de fonctionnement sp‚cial,"10:00 AM-1:00 PM, 4:30 PM-8:30PM",12/31/1899 10:00:00 AM,12/31/1899 1:00:00 PM,Not Applicable/Non applicable,Special Hours/Heures de fonctionnement sp‚cial,Special Hours/Heures de fonctionnement sp‚cial,"10:00 AM-1:00 PM, 4:30 PM-8:30PM",12/31/1899 4:30:00 PM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,Closed,Closed,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 2:00:00 PM,Not Applicable/Non applicable,311,-75.5575942993164,45.2613220214844,OTTAWA,y,n,14
-75.6248931884766,45.3994941711426,-8418525,5684634,102100,ARTS AND CULTURE,Elmvale Acres Library,BibliothŠque publique d'Ottawa Succursale  Elmvale Acres,1910 St-Laurent BLVD,1910 St-Laurent,Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,Closed,Closed,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 1:00:00 PM,12/31/1899 6:00:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 5:00:00 PM,Not Applicable/Non applicable,311,-75.6248931884766,45.3994941711426,OTTAWA,y,n,15
-75.7615203857422,45.2805824279785,-8433734,5665802,102100,CIVIC ADMINISTRATION,Ruth E. Dickinson Library,BibliothŠque publique d'Ottawa Succursale  Ruth E. Dickinson,100 MALVERN DR,100 rue Malvern,Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,Closed,Closed,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 1:00:00 PM,12/31/1899 6:00:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 5:00:00 PM,Not Applicable/Non applicable,311,-75.7615203857422,45.2805824279785,OTTAWA,y,n,16
-75.6467971801758,45.4365425109863,-8420963,5690510,102100,ARTS AND CULTURE,St-Laurent Library,BibliothŠque publique d'Ottawa Succursale  St-Laurent,515 C“t‚ St,515 rue C“t‚,Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,Closed,Closed,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,12/31/1899 1:00:00 PM,12/31/1899 6:00:00 PM,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 5:00:00 PM,Not Applicable/Non applicable,311,-75.6467971801758,45.4365425109863,OTTAWA,y,n,17
-75.9266510009766,45.2606544494629,-8452116,5662650,102100,RECREATION,Johnny Leroux Stittsville Community Arena,Ar‚na communautaire de Stittsville Johnny-Leroux,10 WARNER COLPITTS LANE,10 RLE WARNER COLPITTS,Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 6:00:00 AM,12/31/1899 11:00:00 PM,Hall space 8 am to 10 pm,12/31/1899 6:00:00 AM,12/31/1899 11:00:00 PM,Hall open 8 am to 10 pm,12/31/1899 6:00:00 AM,12/31/1899 11:00:00 PM,Hall open 8 am to 10 pm,12/31/1899 6:00:00 AM,12/31/1899 11:00:00 PM,Hall open 8 am to 10 pm,12/31/1899 6:00:00 AM,12/31/1899 11:00:00 PM,Hall open 8 am to 10 pm,12/31/1899 6:00:00 AM,12/31/1899 11:00:00 PM,Hall open 8 am to 10 pm,12/31/1899 6:00:00 AM,12/31/1899 11:00:00 PM,Hall available 8 am to 12 am,311,-75.9266510009766,45.2606544494629,OTTAWA,y,n,18
-75.9014129638672,45.294246673584,-8449307,5667964,102100,RECREATION,Kanata Recreation Complex,Centre des loisirs de Kanata,100 CHARLIE ROGERS PL,"100, PLACE CHARLIE ROGERS",Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 6:00:00 AM,12/31/1899 11:00:00 PM,Not Applicable/Non applicable,12/31/1899 6:00:00 AM,12/31/1899 11:00:00 PM,Not Applicable/Non applicable,12/31/1899 6:00:00 AM,12/31/1899 11:00:00 PM,Not Applicable/Non applicable,12/31/1899 6:00:00 AM,12/31/1899 11:00:00 PM,Not Applicable/Non applicable,12/31/1899 6:00:00 AM,12/31/1899 11:00:00 PM,Not Applicable/Non applicable,12/31/1899 6:00:00 AM,12/31/1899 11:00:00 PM,Not Applicable/Non applicable,12/31/1899 6:00:00 AM,12/31/1899 11:00:00 PM,Not Applicable/Non applicable,311,-75.9014129638672,45.294246673584,OTTAWA,y,n,19
-76.2062606811523,45.4701347351074,-8483242,5695841,102100,RECREATION,Fitzroy Harbour CC,Centre Communautaire de Fitzroy Harbour,100 CLIFFORD CAMPBELL ST,"100, RUE CLIFFORD CAMPBELL",Open Year Round/Ouvert toute l?ann‚e,Not Applicable/Non applicable,Not Applicable/Non applicable,Not Applicable/Non applicable,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 5:30:00 PM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,Not Applicable/Non applicable,Not Applicable/Non applicable,Not Applicable/Non applicable,Not Applicable/Non applicable,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 5:30:00 PM,12/31/1899 8:30:00 PM,Not Applicable/Non applicable,Not Applicable/Non applicable,Not Applicable/Non applicable,Not Applicable/Non applicable,12/31/1899 10:00:00 AM,12/31/1899 1:00:00 PM,Not Applicable/Non applicable,311,-76.2062606811523,45.4701347351074,OTTAWA,y,n,20
